,INCIDENT_NUMBER,OFFENSE_DESCRIPTION,DISTRICT,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,STREET,Lat,Long
0,PLTEST005,BURGLARY - RESIDENTIAL,B2,True,2021-10-13 00:00:00,2021,10,Wednesday,0,SCHROEDER PLZ,42.33367921810846,-71.09187754618458
1,PLTEST003,INVESTIGATE PROPERTY,B2,False,2021-05-12 00:00:00,2021,5,Wednesday,0,SCHROEDER PLZ,42.33367921810846,-71.09187754618458
2,PLTEST002,INVESTIGATE PROPERTY,B2,False,2021-05-12 00:00:00,2021,5,Wednesday,0,SCHROEDER PLZ,42.33367921810846,-71.09187754618458
3,222000599,FRAUD - CREDIT CARD / ATM FRAUD,B2,False,2021-12-29 22:40:00,2021,12,Wednesday,22,WASHINGTON ST,42.32866283555608,-71.08563401183545
4,222000583,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,False,2021-12-28 12:00:00,2021,12,Tuesday,12,WASHINGTON ST,42.32866283555608,-71.08563401183545
5,222000575,LARCENY THEFT FROM BUILDING,B3,False,2021-12-20 00:00:00,2021,12,Monday,0,CUMMINS HWY,42.272456507370215,-71.10731991584515
6,222000557,LARCENY THEFT FROM BUILDING,D14,False,2021-12-28 00:00:00,2021,12,Tuesday,0,SUTHERLAND RD,42.33654138026856,-71.15048534785248
7,222000555,PROPERTY - LOST/ MISSING,B2,False,2021-12-31 12:00:00,2021,12,Friday,12,WASHINGTON ST,42.32866283555608,-71.08563401183545
8,222000554,FRAUD - FALSE PRETENSE / SCHEME,D14,False,2021-12-30 00:00:00,2021,12,Thursday,0,WASHINGTON ST,42.34905600030506,-71.15049849975023
9,222000511,M/V ACCIDENT - OTHER,B2,False,2021-12-30 00:00:00,2021,12,Thursday,0,WASHINGTON ST,42.32866283555608,-71.08563401183545
10,222000487,PROPERTY - LOST/ MISSING,B2,False,2021-06-28 11:51:00,2021,6,Monday,11,MALCOLM X BLVD,42.3312377558529,-71.09140736221293
11,222000434,VANDALISM,B3,False,2021-12-23 00:00:00,2021,12,Thursday,0,BLUE HILL AVE,42.28482576580488,-71.09137368938802
12,222000337,AUTO THEFT,D14,False,2021-07-14 10:22:00,2021,7,Wednesday,10,WASHINGTON ST,42.34905600030506,-71.15049849975023
13,222000259,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,False,2021-12-30 22:00:00,2021,12,Thursday,22,WOODWARD PARK ST,42.31862925779492,-71.07271364642999
14,222000197,PROPERTY - LOST THEN LOCATED,B3,False,2021-12-31 23:30:00,2021,12,Friday,23,MENTON ST,42.27298349626727,-71.07804969908256
15,222000178,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,False,2021-12-31 20:36:00,2021,12,Friday,20,"BLUE HILL AVE & WASHINGTON ST
DORCHESTER  MA 02121",42.30846803058291,-71.08327694723572
16,222000168,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,False,2021-12-31 00:30:00,2021,12,Friday,0,ARMANDINE ST,42.28431485820152,-71.07410838208102
17,222000005,THREATS TO DO BODILY HARM,B2,False,2021-12-31 22:53:00,2021,12,Friday,22,ABBOTSFORD ST,42.3146297335049,-71.09261520161773
18,212952205,VANDALISM,B2,False,2021-07-28 00:00:00,2021,7,Wednesday,0,LEYLAND ST,42.32066146475963,-71.07067866730458
19,212929649,ASSAULT - SIMPLE,D14,False,2021-03-31 20:10:00,2021,3,Wednesday,20,NEVINS ST,42.34928568996855,-71.146727204671
20,212492943,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,False,2021-04-11 15:00:00,2021,4,Sunday,15,"4 HARTWELL ST
ROXBURY  MA 02121
UNITED STATES",42.30936380087264,-71.08416777254996
21,212098438,VERBAL DISPUTE,B2,False,2021-12-28 19:37:00,2021,12,Tuesday,19,WAVERLY ST,42.32037671039494,-71.07903446612556
22,212097649,ASSAULT - SIMPLE,B3,False,2021-12-13 11:00:00,2021,12,Monday,11,BLUE HILL AVE,42.28482576580488,-71.09137368938802
23,212095530,INVESTIGATE PROPERTY,B2,False,2021-12-31 23:21:00,2021,12,Friday,23,HUMBOLDT AVE,42.31430347467973,-71.08856593453203
24,212095529,ASSAULT - AGGRAVATED,B2,False,2021-12-31 22:47:00,2021,12,Friday,22,WARREN ST,42.31696649906326,-71.08254057648374
25,212095528,ASSAULT - SIMPLE,B2,False,2021-12-31 22:45:00,2021,12,Friday,22,MISSION PARK DR,42.33378250371646,-71.10934344433427
26,212095505,INVESTIGATE PROPERTY,B3,True,2021-12-31 21:47:00,2021,12,Friday,21,NIGHTINGALE ST,42.295401747229576,-71.08237834206447
27,212095499,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,False,2021-12-31 21:02:00,2021,12,Friday,21,BLUE HILL AVE,42.31709355046751,-71.07802976841748
28,212095497,M/V - LEAVING SCENE - PERSONAL INJURY,B2,False,2021-12-31 20:28:00,2021,12,Friday,20,WASHINGTON ST,42.3077502395542,-71.08273084088506
29,212095483,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,False,2021-12-31 20:06:00,2021,12,Friday,20,ALLSTON ST,42.35211145464839,-71.13531147083799
30,212095482,FIRE REPORT,B3,False,2021-12-31 19:46:00,2021,12,Friday,19,ABBOT ST,42.29686162363138,-71.08584182950716
31,212095474,INVESTIGATE PERSON,B2,False,2021-12-31 19:24:00,2021,12,Friday,19,WARREN ST,42.31696649906326,-71.08254057648374
32,212095472,SICK ASSIST,B2,False,2021-12-31 19:01:00,2021,12,Friday,19,GASTON ST,42.31358712986491,-71.08108335600873
33,212095470,LARCENY SHOPLIFTING,D14,False,2021-12-31 18:44:00,2021,12,Friday,18,CAMBRIDGE ST,42.35370857360233,-71.13703909632851
34,212095460,SICK ASSIST - DRUG RELATED ILLNESS,D14,False,2021-12-31 17:38:00,2021,12,Friday,17,COMMONWEALTH AVE,42.35216435372303,-71.12378708183789
35,212095453,M/V ACCIDENT - PERSONAL INJURY,D14,False,2021-12-31 17:30:00,2021,12,Friday,17,"BELLVISTA RD & COREY RD
BRIGHTON  MA 02135
UNITED ",42.345564019229954,-71.13646097058415
36,212095452,INVESTIGATE PERSON,B3,False,2021-12-31 17:20:00,2021,12,Friday,17,LORNA RD,42.276633719568345,-71.08527294094218
37,212095445,VAL - OPERATING AFTER REV/SUSP.,B2,False,2021-12-31 16:23:00,2021,12,Friday,16,BURRELL ST,42.32265133052613,-71.07172492338583
38,212095444,LARCENY ALL OTHERS,B2,False,2021-12-31 15:30:00,2021,12,Friday,15,WASHINGTON ST,42.32104456561025,-71.09281973908705
